Category	Metabolic module	KO	No	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare
Metabolism of cofactors and vitamins	Porphyrin metabolism	K03795	11	1.975018247	2.092028944	2.029726144	1.56221056	1.974078764	2.063895153	1.66640912	2.260695109	2.174876269	1.479499106	3.878551792	1.938225919	1.961629051	1.928213185	2.000983222	2.165654122	1.614506654	1.532202316	1.275126395	1.291195663	1.351626275
Metabolism of cofactors and vitamins	Folate biosynthesis	K03638	12	2.071142914	2.274602423	2.268246404	2.013409501	2.124797926	2.172137648	2.02963824	2.226333245	2.180969124	1.981146865	3.964815387	2.120488679	2.232656035	2.10829837	1.939426378	1.901657624	1.892709648	1.718757201	1.749050103	1.680345135	1.80292049
Metabolism of cofactors and vitamins	Porphyrin metabolism	K03594	13	2.095856927	2.219771273	2.176870594	1.824629834	2.117152626	2.256704656	1.90955815	2.355130557	2.244164736	1.753436306	4.094037129	2.152769566	2.27823226	2.122404314	1.89339934	1.93477704	1.941896668	2.01151713	1.648748935	1.626193761	1.272655118
Metabolism of cofactors and vitamins	Porphyrin metabolism	K02492	14	2.346826582	2.406815199	2.395748661	2.416871227	2.434265325	2.424487116	2.40402798	2.376470109	2.417687176	2.429049318	4.25265797	2.315680478	2.374206534	2.309870349	2.493345705	2.611119276	2.331403178	2.216748754	2.453815727	2.521371527	2.44983026
Metabolism of cofactors and vitamins	Folate biosynthesis	K01737	15	2.248375237	2.258819138	2.28697827	2.234193091	2.188883053	2.204158646	2.191771557	2.259046316	2.34036595	2.284005775	4.155474166	2.188890122	2.317440236	2.2393694	2.223703049	2.302255245	2.194487451	2.217320268	2.379488426	2.419329224	2.315457655
Metabolism of cofactors and vitamins	Porphyrin metabolism	K01698	16	2.447457665	2.456650621	2.457420921	2.42756403	2.425217627	2.48045502	2.4016687	2.457113538	2.362107058	2.427699247	4.368726853	2.349760278	2.311427649	2.334532207	2.418277142	2.453800581	2.350292191	2.121821487	2.399418076	2.478781821	2.330363334
Metabolism of cofactors and vitamins	Folate biosynthesis	K00500	17	1.155460287	0	0.044963999	1.232293882	1.75176502	0.716449492	1.47106535	0.409617436	0.996095759	1.362886562	2.133618006	0.013656724	0.321133997	0.31199236	1.434251745	1.557662486	1.413578514	0.626180459	1.617224652	1.510228454	1.445470292
Lipid metabolism	Glycerophospholipid metabolism	K19664	18	1.950082031	2.209455423	2.151452943	1.617476981	1.941293222	2.137811834	1.513015316	2.168733672	2.130668011	1.357350427	3.980098462	1.982358343	2.073456446	2.002611333	0.627643831	0.700917614	0.915582734	1.651215828	1.171751744	0.94259829	1.334055407
Lipid metabolism	Glycerophospholipid metabolism	K17104	19	1.885558869	2.115139273	2.089048859	1.128749671	2.024304054	2.115830511	1.097535317	2.094311576	2.157003222	0.733406257	3.909061016	1.976612664	2.125431124	2.048860615	1.420943521	1.919278936	0.749121128	1.854226564	0.659091569	0.330850976	0.666272713
Lipid metabolism	Glycerophospholipid metabolism	K03735	20	0.392884523	0.192328103	0.117621497	0.771119545	1.101379639	0.172097915	1.32254285	0.425919637	0.799889159	1.072353296	1.849077488	0.306016231	0.466898198	0.875323908	1.147251135	0.993286928	1.160639193	0.607135179	1.764368239	1.616708989	1.556141968
Lipid metabolism	Glycerophospholipid metabolism	K01115	21	0.836110103	0.271282019	0.110491515	0.446953094	0.734882145	0.651527308	0.594196084	0.437452406	1.006603185	0.305080854	1.994632404	0.181157716	0.454407664	0.535966545	1.126572693	0.890303373	1.116575769	0.603058684	1.171200603	0.337475884	0
Lipid metabolism	Glycerophospholipid metabolism	K01114	22	1.125130575	1.256126008	1.049606253	1.125141939	1.170407622	1.141332655	1.071434532	0.994331434	1.031784136	1.051339619	3.21962721	0.85213044	1.163761664	1.1994558	1.130136751	1.103777817	1.189437639	0.99782237	0.704348504	0.614550042	0.830677796
Energy metabolism	Carbon fixation pathways in prokaryotes	K18210	23	1.839051002	1.90668344	1.893503267	1.633007655	1.549426705	1.932155543	1.606477882	1.88858692	1.887672009	1.525481247	3.500652319	1.901353307	1.816456786	1.826882558	0.836752451	0.815460319	1.506104655	1.864009961	1.177519416	1.154022005	1.25626071
Energy metabolism	Sulfur metabolism	K15554	24	1.192042315	0.498619099	0.817133783	0.121680618	0.367448138	1.067721593	0.229114963	1.30444345	1.482186837	0.261219336	2.823209738	1.185044293	0.56683018	0.655251471	0.720746714	0.758486353	0.356428706	0.493609733	0.218588839	0.11413392	0
Energy metabolism	Sulfur metabolism	K15551	25	1.616878638	1.351427558	1.167388533	1.258974511	0.998756478	0.95813677	1.370707371	1.317288218	1.111227039	0.749409192	3.2983109	0.796684441	1.321948474	0.950834752	1.313747604	1.285953369	1.226689798	0.834695405	0.659107747	0.678096307	0
Energy metabolism	Carbon fixation pathways in prokaryotes	K15230	26	2.023479518	1.973222748	1.923020094	1.837695852	1.528655832	2.283089917	1.690870011	2.251646504	2.195092276	2.012166769	3.902270677	2.005175158	2.0706506	1.947832178	0.629928891	0.906105469	1.421770783	1.709134782	2.111052713	2.424710192	1.753435403
Energy metabolism	Methane metabolism	K14082	27	0.287487698	0.487123241	0.461397964	0.442203502	0.687448024	0.538995822	0.344952556	0.083157224	0.788993369	0.272874014	2.490809868	0.896931578	0.851610215	1.376731615	0.198103511	0.072731536	0.199715392	0.543775997	0.254281837	0.23395829	0
Energy metabolism	Methane metabolism	K08094	28	1.998061844	2.095681069	2.129184238	1.249901137	1.794768293	2.107949101	1.321208293	2.152248605	2.183079716	1.245037598	3.845395688	1.99599056	2.156184886	2.052641431	1.401084045	1.182677156	1.176635648	1.98113925	1.024855552	1.119903615	1.190104693
Energy metabolism	Methane metabolism	K05884	29	2.105311737	2.062944952	1.999659041	1.469034565	1.651034549	2.310991169	1.520150828	2.282742721	2.343032658	1.317008117	4.058004509	2.197147605	2.285315131	2.181142988	1.485561426	1.537519241	1.52178973	2.064944486	1.25250808	1.137817499	1.023661216
Energy metabolism	Oxidative phosphorylation	K02299	30	0.27322128	0	0	0.316383751	1.737849781	0	1.150185529	0.194803339	0.814550963	0.156617774	1.058971416	0.23527761	0	0.624894354	1.438149642	1.191902558	1.40947234	0.220322747	0.771635242	0.403861276	0
Energy metabolism	Oxidative phosphorylation	K02133	31	0.088431426	0.006680687	0	0.022019259	0	0.046452459	0.095431631	0.043254361	0.254292525	0.024222943	1.231605661	0.038679338	0	0.011191607	0.261566072	0.222247024	0.105809251	0	0.05950761	0.036538127	0
Energy metabolism	Oxidative phosphorylation	K02121	32	2.046755883	2.154785997	2.054149634	1.65903921	1.930328568	1.832601787	1.539838197	2.098661567	2.055445919	1.634505294	3.865911857	1.99650781	1.814512832	1.877208092	1.441601235	1.877187153	1.360491153	1.96127401	1.503488651	1.415749627	1.570413529
Energy metabolism	Oxidative phosphorylation	K02120	33	2.262637423	2.327645658	2.308757229	1.952284199	2.145005885	2.39875204	1.928371213	2.435078342	2.469406351	1.84262483	4.126968193	2.282816448	2.470230008	2.277725302	1.672640304	2.015589776	1.741755935	2.233276134	1.775930028	1.686200295	1.726312763
Energy metabolism	Oxidative phosphorylation	K02107	34	0.191394153	1.08073222	1.07016755	0.525430765	1.50464698	0.607836994	0.345585477	0.311649807	1.194151131	0.039821265	2.814830001	0.968920912	1.202894107	1.18804493	1.142551016	1.543026941	0.260889851	0.896459449	0.023787824	0.127433995	0
Energy metabolism	Nitrogen metabolism	K01915	35	2.781391841	2.952747569	2.967412564	2.941912925	2.813356099	2.958990495	2.925819545	2.898086093	2.895930749	2.900644355	4.688750897	2.864026801	2.90428623	2.848539103	3.073075776	3.118788908	2.897758324	2.794034312	2.871628593	2.893162427	2.921536472
Energy metabolism	Methane metabolism	K01895	36	2.912443818	2.885110235	2.90561573	2.891052382	2.848721096	3.000292666	2.877560401	2.98997824	2.969671255	2.805936163	4.777517927	2.834078691	2.863514306	2.862197099	2.877645956	2.966199337	2.892067035	2.811685455	2.769593654	2.819088197	2.792208623
Energy metabolism	Carbon fixation pathways in prokaryotes	K01847	37	1.946624324	1.71449366	2.088342914	2.105700554	1.792618185	1.56591314	2.20362825	1.627254445	1.878803029	2.208032456	3.616419925	2.206344205	1.878915224	2.008810377	2.242156525	2.141655198	2.38931227	1.706554702	2.334664833	2.276208522	2.418211568
Energy metabolism	Carbon fixation pathways in prokaryotes	K01807	38	2.357156982	2.240100722	2.155696554	2.208581089	2.287065624	2.299881283	2.189757974	2.300768308	2.313102601	2.115402141	4.06635858	2.055509797	2.210029983	2.192531335	2.091964579	2.174126032	1.980926537	1.98911633	1.897781216	1.78597643	1.991436773
Energy metabolism	Oxidative phosphorylation	K01535	39	2.638370939	2.374792377	2.194148905	1.814017449	1.478905525	2.504995614	1.93115884	2.822501213	2.513777704	2.031136422	4.559245468	2.218960559	2.224308057	2.241612133	1.027861875	0.758440635	1.59197814	1.172885109	1.466392936	1.285127946	0.212307235
Energy metabolism	Methane metabolism	K01499	40	2.001659307	2.448595609	2.426201845	1.257890944	2.102190912	2.359265058	1.334757064	2.258618653	2.365494622	1.328593192	3.947170546	2.082777077	2.1653327	2.242434913	1.542240368	1.413233635	1.238295183	1.65904519	1.114917127	1.115414846	1.061461817
Energy metabolism	Sulfur metabolism	K00956	41	1.170037731	0.590798248	0.82475035	1.642713056	1.894804903	0.918985343	1.588447401	0.88770391	1.360753526	1.761905656	2.771550589	0.865665302	0.674474346	0.825421838	1.355595216	1.386872427	1.236705414	0.995752269	1.865258466	1.818093391	1.793384355
Energy metabolism	Methane metabolism	K00672	42	2.414291942	2.424924956	2.415296314	1.323047894	2.283129318	2.613225794	1.473965909	2.56198928	2.625900522	1.4026646	4.316193053	2.368926497	2.413393746	2.409139683	1.710577678	1.603427194	1.251888861	1.880403215	1.131548486	1.057065461	1.096873388
Energy metabolism	Oxidative phosphorylation	K00340	43	2.20159578	2.037476364	1.942989751	2.124920655	2.017546075	2.028688878	2.114886228	2.150304908	2.097670964	2.152926665	4.022140118	1.870270141	2.03282807	1.959025913	2.17273966	2.220530317	2.238293007	1.935197553	2.263725411	2.314845016	2.108139528
Energy metabolism	Oxidative phosphorylation	K00339	44	2.280585064	2.149283499	2.076416213	2.285385067	2.123468371	2.042814363	2.282610992	2.104764868	2.200903323	2.287037508	4.042873281	2.017239149	2.091961163	2.091719618	2.279511452	2.222821703	2.365123994	2.007612219	2.347250269	2.448001181	2.296193184
Energy metabolism	Oxidative phosphorylation	K00338	45	2.357140714	2.116649003	2.036932277	2.263124484	1.943551515	2.169874122	2.277336213	2.312490033	2.330545939	2.296917216	4.163463977	1.934540143	2.058068688	2.078737759	2.322645401	2.384588533	2.372212888	2.000409558	2.380834541	2.488071512	2.164746924
Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	K19244	46	2.274592192	2.316322557	2.274577077	1.740072976	2.083283688	2.281884012	1.789096576	2.39448326	2.392932532	1.590426779	4.099669839	2.145810034	2.177844605	2.199789498	1.872675662	1.91451538	1.795971133	2.137578136	1.465929157	1.380005603	1.58045257
Amino acid metabolism	Arginine and proline metabolism	K09123	47	2.279289754	2.406306816	2.409282418	1.974572359	2.245601116	2.396248719	2.064840533	2.479949466	2.367838381	1.853642646	4.099068083	2.270882043	2.260279451	2.355442455	2.355614402	2.500731648	2.45672287	2.350153575	1.40940277	1.356572227	1.521075319
Amino acid metabolism	Tyrosine metabolism	K05921	48	1.986516137	1.825773286	1.7002947	1.409178687	1.936607452	1.902195834	1.558370898	2.126166774	2.054233398	1.320362001	3.843155829	1.835823947	2.122597343	2.01045865	1.791390616	1.866718679	1.736235467	1.906335586	1.30417844	1.226603815	1.136196999
Amino acid metabolism	Arginine and proline metabolism	K05526	49	0.560770728	0	0	0.910567202	1.711486902	0.599846504	1.335261625	0.4157235	0.819627494	1.106532206	1.377146766	0.032209874	0	0.159512581	1.277716527	1.303296589	1.427822376	0.144679123	1.392090626	1.247050214	1.268984081
Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	K01580	50	2.262704911	2.137598504	2.243615882	1.824324515	2.088535725	1.971154373	1.865004282	2.407489508	2.07774501	1.858588108	4.074753398	2.209427123	2.31926784	2.140549194	1.224375708	1.45526661	1.616940298	1.405838103	1.755032196	1.660478633	1.746871872
Amino acid metabolism	Tyrosine metabolism	K01555	51	1.13905649	0.035627661	0.020254353	1.242740857	0.254592476	0.102899614	1.47092508	0.176217604	0.834314476	1.504825814	2.068954071	0.027566315	0.163106523	0.56574383	1.400731708	1.15191383	1.636320083	0.520209218	1.555216601	1.576843178	1.540009664
Amino acid metabolism	Arginine and proline metabolism	K01484	52	0.071712089	0.037253456	0.032975479	0.736151233	0.892208395	0.570644765	0.957854412	0.432582301	0.838167759	0.188389135	0.84509804	0.050652856	0	0.147608692	0.832277034	1.227388032	0.513345591	0.600253376	0.842286425	0.346622966	0.367493531
Amino acid metabolism	Tyrosine metabolism	K00817	53	2.59013209	2.726002206	2.703810499	2.722561249	2.65020827	2.677094312	2.690115357	2.667865573	2.771481915	2.630905668	4.539027956	2.700415461	2.713463344	2.70214215	2.59960884	2.601451374	2.546441919	2.623756488	2.59063107	2.620875824	2.700621493
Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	K00812	54	2.857027685	2.8022884	2.739368699	2.750857365	2.820108507	2.897840202	2.739392401	2.950499522	2.837223146	2.722189928	4.778865062	2.745788647	2.806371595	2.772819357	2.761149766	2.840119954	2.7286243	2.716054773	2.658541799	2.655812185	2.717318401
